id,osm_node_id,latitude,longitude,speed_limit,camera_type,compass_direction,road_direction,source
1,245512452,41.2985735,69.2961222,60,speed_camera,,,openstreetmap
2,247311880,42.5998476,59.6689949,50,speed_camera,,,openstreetmap
3,295331633,40.3708845,71.4152016,55,speed_camera,S,Ayrilma,openstreetmap
4,296058674,40.9939598,71.6715032,70,speed_camera,,,openstreetmap
5,296103271,41.0074095,71.6163102,70,speed_camera,,,openstreetmap
6,304264131,41.3101792,69.2399783,50,speed_camera,SW,Радар-C,openstreetmap
7,304264511,41.3121131,69.2413673,60,speed_camera,,Радар-C,openstreetmap
8,332406535,41.5127171,69.653615,,speed_camera,,,openstreetmap
9,355228536,41.2757483,69.2058374,60,speed_camera,NE,Радар-C,openstreetmap
10,357168503,41.3214043,69.2425717,60,speed_camera,,,openstreetmap
11,357201548,41.3169042,69.2934506,60,speed_camera,,Радар-C,openstreetmap
12,357890290,41.3213953,69.2829238,60,speed_camera,,,openstreetmap
13,359036902,41.3217382,69.2810679,60,speed_camera,E,Радар-C,openstreetmap
14,359363938,41.3418618,69.3672396,60,speed_camera,,,openstreetmap
15,359503970,41.3101077,69.240137,50,speed_camera,SW,Радар-C,openstreetmap
16,359503971,41.3121101,69.2415676,60,speed_camera,N,Радар-C,openstreetmap
17,359933604,41.3543233,69.3721767,60,speed_camera,,,openstreetmap
18,361152124,41.3512319,69.2878937,60,speed_camera,,,openstreetmap
19,361157820,41.3512354,69.2876796,60,speed_camera,N,,openstreetmap
20,376518906,41.3455075,69.360746,60,speed_camera,,,openstreetmap
21,378054628,41.2558019,69.3204859,60,speed_camera,,,openstreetmap
22,956093811,41.2715941,69.2669748,60,speed_camera,SW,Радар-С,openstreetmap
23,975394851,40.0602802,64.547924,70,speed_camera,NE,,openstreetmap
24,975394938,40.0863305,64.6748255,60,speed_camera,W,,openstreetmap
25,982325859,41.2559,69.3204235,60,speed_camera,,,openstreetmap
26,982325874,41.2559013,69.320597,60,speed_camera,,,openstreetmap
27,1133630040,41.319514,69.4740614,,speed_camera,,радар,openstreetmap
28,1257622038,39.7488979,64.4241778,60,speed_camera,,,openstreetmap
29,1257622041,39.7485639,64.4238331,60,speed_camera,,,openstreetmap
30,1257622060,39.7491947,64.4236856,60,speed_camera,,,openstreetmap
31,1567574559,41.2661592,69.2475466,60,speed_camera,W,Радар-С,openstreetmap
32,1573954885,40.0233248,67.6154703,70,speed_camera,,АВТО РАДАР,openstreetmap
33,1640377076,41.3550443,69.2690665,50,speed_camera,,,openstreetmap
34,1657752610,40.8000586,68.6760477,70,speed_camera,N,Radar kamera,openstreetmap
35,1661946804,41.2524956,69.3860558,60,speed_camera,,,openstreetmap
36,1775070773,41.3073719,69.3011219,60,speed_camera,,,openstreetmap
37,1775070774,41.3074383,69.3015543,60,speed_camera,,,openstreetmap
38,1804753925,41.3598584,69.2781664,60,speed_camera,,,openstreetmap
39,1833182247,40.0669776,64.9002083,100,speed_camera,,,openstreetmap
40,1838256069,39.819347,64.4332749,70,speed_camera,N,Радар,openstreetmap
41,1838256071,39.8193813,64.4331562,70,speed_camera,S,Радар,openstreetmap
42,1849853146,40.730765,70.8315916,70,speed_camera,S,Радар-C,openstreetmap
43,1849853147,40.7334094,70.8304966,70,speed_camera,N,Радар-C,openstreetmap
44,1860757207,41.3281009,69.2832588,60,speed_camera,N,Камера,openstreetmap
45,1891563971,39.145077,66.1734322,70,speed_camera,,РАДАР,openstreetmap
46,1962681889,41.2966168,69.286322,60,speed_camera,,,openstreetmap
47,2050899808,40.9925461,71.6680659,70,speed_camera,,,openstreetmap
48,2114508867,40.2336734,68.8405667,70,speed_camera,N,,openstreetmap
49,2208475376,40.8547513,68.6648554,70,speed_camera,N,Радар-C,openstreetmap
50,2219644395,40.5020267,68.5375195,100,speed_camera,E,,openstreetmap
51,2246700075,40.7166475,64.8717275,100,speed_camera,,,openstreetmap
52,2255664341,39.9619051,65.9325937,70,speed_camera,E,Радар-C,openstreetmap
53,2255665350,40.1075949,65.5359856,70,speed_camera,,Радар,openstreetmap
54,2302816341,41.6166204,69.9149291,,speed_camera,,,openstreetmap
55,2371761247,39.9273283,66.2161403,70,speed_camera,,Радар,openstreetmap
56,2435297838,40.0742602,64.3263434,70,speed_camera,S,,openstreetmap
57,2689441968,40.9972663,71.5771511,70,speed_camera,,,openstreetmap
58,2689441969,40.9974087,71.5771847,70,speed_camera,,,openstreetmap
59,2798465977,41.3173851,69.2933432,60,speed_camera,,Радар-C,openstreetmap
60,4163106108,40.1254496,65.4675419,70,speed_camera,,,openstreetmap
61,4193528816,41.328072,69.2834477,60,speed_camera,S,Радар-C,openstreetmap
62,4215015057,41.2965331,69.2862082,60,speed_camera,,,openstreetmap
63,4341528324,41.3509516,69.2878319,60,speed_camera,S,,openstreetmap
64,4433678899,41.3336125,69.3026559,60,speed_camera,,,openstreetmap
65,4433678900,41.3336694,69.3034694,60,speed_camera,,,openstreetmap
66,4445359064,41.3670959,69.2849819,60,speed_camera,,,openstreetmap
67,4487287213,40.8742761,68.6690515,70,speed_camera,,,openstreetmap
68,4536303334,41.3347114,69.2794215,60,speed_camera,,,openstreetmap
69,4538540161,41.3658699,69.2861796,60,speed_camera,,,openstreetmap
70,4538540164,41.3131192,69.330759,60,speed_camera,,,openstreetmap
71,4557549456,41.2922331,69.280443,60,speed_camera,,,openstreetmap
72,4557549457,41.2921615,69.2803467,60,speed_camera,,,openstreetmap
73,4560283928,40.556451,68.745646,70,speed_camera,N,,openstreetmap
74,4560283929,40.5564709,68.7457661,70,speed_camera,S,,openstreetmap
75,4597355092,39.6588036,66.9448166,,speed_camera,,,openstreetmap
76,4597370589,39.655982,66.9561132,,speed_camera,,,openstreetmap
77,4623864315,41.3209034,69.3042355,60,speed_camera,,,openstreetmap
78,4623864316,41.32211,69.3033124,60,speed_camera,,,openstreetmap
79,4737536524,41.3667453,69.2859595,60,speed_camera,,,openstreetmap
80,4745853074,40.1475945,65.3528353,,speed_camera,,,openstreetmap
81,4772541956,41.2910272,69.2774204,60,speed_camera,,Нукусская - Авлиё ота,openstreetmap
82,4772543075,41.2910693,69.2774547,60,speed_camera,,Авлиё ота - Нукусская,openstreetmap
83,4776853545,41.2758214,69.2057154,60,speed_camera,SW,Радар-C,openstreetmap
84,4776853547,41.2851202,69.2538303,60,speed_camera,,,openstreetmap
85,4822122814,41.3204782,69.2888872,60,speed_camera,NW,,openstreetmap
86,4828235586,41.0024114,71.6771694,70,speed_camera,,,openstreetmap
87,4860661363,42.4323742,59.4987337,60,speed_camera,,,openstreetmap
88,5196594096,41.3210173,69.3042514,60,speed_camera,,,openstreetmap
89,5203014558,39.7703138,67.2700994,70,speed_camera,E,,openstreetmap
90,5225365111,39.7487821,64.4234446,60,speed_camera,,,openstreetmap
91,5298107819,41.3045729,69.3227101,60,speed_camera,,,openstreetmap
92,5431294496,41.0099405,68.8369616,70,speed_camera,SW,,openstreetmap
93,5459611668,41.2683942,69.234904,60,speed_camera,,,openstreetmap
94,5459611669,41.2685517,69.2347202,60,speed_camera,,,openstreetmap
95,5459611864,41.2544063,69.1970334,60,speed_camera,,,openstreetmap
96,5459614759,41.2591741,69.2225388,60,speed_camera,,,openstreetmap
97,5459614927,41.2593235,69.2224949,60,speed_camera,,,openstreetmap
98,5459622586,41.2684226,69.2339174,60,speed_camera,,,openstreetmap
99,5478868074,41.2010179,69.1081856,70,speed_camera,,,openstreetmap
100,5478868075,41.2009372,69.1082506,70,speed_camera,,,openstreetmap
101,5483238197,39.9411454,66.5460407,70,speed_camera,,Радар,openstreetmap
102,5483400305,39.9395775,66.3903365,70,speed_camera,,Радар,openstreetmap
103,5483400658,39.7658222,67.2593871,70,speed_camera,SW,,openstreetmap
104,5555041478,39.5817962,66.9007674,70,speed_camera,W,,openstreetmap
105,5555041675,39.7702019,67.2701303,70,speed_camera,W,,openstreetmap
106,5653987822,41.2285853,69.1488598,60,speed_camera,NE,,openstreetmap
107,5694074927,41.5525829,69.7588028,50,speed_camera,,радар,openstreetmap
108,5696814822,40.0202934,67.6126486,70,speed_camera,,Радар,openstreetmap
109,5746432091,39.7883235,67.314555,100,speed_camera,,Радар,openstreetmap
110,5773410854,41.3637976,69.1789417,60,speed_camera,,,openstreetmap
111,5773438353,41.3639238,69.1788858,60,speed_camera,,,openstreetmap
112,5804369828,40.7321014,68.6916939,70,speed_camera,N,Радар-C,openstreetmap
113,5804424421,41.0670248,68.9188019,70,speed_camera,SW,,openstreetmap
114,5804427837,41.1092733,68.9790333,70,speed_camera,SW,,openstreetmap
115,5804427838,41.1091916,68.9791293,70,speed_camera,NE,,openstreetmap
116,5804432352,41.2013794,69.1088727,70,speed_camera,NE,,openstreetmap
117,5804438435,41.2286562,69.1487559,60,speed_camera,SW,,openstreetmap
118,5819558761,41.6044277,69.8880183,,speed_camera,,РАДАР,openstreetmap
119,5819597856,41.5979361,69.8748128,70,speed_camera,,РАДАР,openstreetmap
120,5819597859,41.5978457,69.8748899,70,speed_camera,,РАДАР,openstreetmap
121,5819598955,41.4866243,69.6174477,,speed_camera,,РАДАР,openstreetmap
122,5825050450,41.5557241,69.6944281,70,speed_camera,,Товакса,openstreetmap
123,5825051771,41.5313563,69.6569902,70,speed_camera,,Аранчи пост ГАИ,openstreetmap
124,5828582041,41.5424424,69.6766638,70,speed_camera,,Радар,openstreetmap
125,5828582547,41.5424674,69.676578,70,speed_camera,,Радар,openstreetmap
126,5828595846,41.5634339,69.7138792,70,speed_camera,,Радар,openstreetmap
127,5828596289,41.5633803,69.7139563,70,speed_camera,,Радар,openstreetmap
128,5829403221,39.7268895,67.1420834,70,speed_camera,NE,Радар,openstreetmap
129,5829780622,40.0573057,64.8450644,70,speed_camera,E,Радар-М,openstreetmap
130,5830432611,41.3118477,69.2436378,60,speed_camera,E,,openstreetmap
131,5830831885,39.6578452,66.9477287,,speed_camera,,,openstreetmap
132,5832704507,40.7321178,68.691792,70,speed_camera,S,Радар-C,openstreetmap
133,5846759476,41.3075987,69.302137,60,speed_camera,SW,Радар-C,openstreetmap
134,5851064786,41.2745767,69.2695179,60,speed_camera,SW,,openstreetmap
135,5861032990,40.2920686,68.0620296,70,speed_camera,,,openstreetmap
136,5861032991,39.8022993,67.3471199,70,speed_camera,,Р А Д А Р,openstreetmap
137,5861042286,39.7444744,67.2017159,70,speed_camera,,Р А Д А Р,openstreetmap
138,5861042287,39.7394795,67.1841898,70,speed_camera,,Р А Д А Р,openstreetmap
139,5861135085,39.7268034,67.1421555,70,speed_camera,W,Р А Д А Р,openstreetmap
140,5875314230,41.2619722,69.2312713,60,speed_camera,,Радар,openstreetmap
141,5911790101,39.1356937,65.424431,100,speed_camera,NW,Радар-С,openstreetmap
142,5914044713,41.4857827,69.6170335,100,speed_camera,S,,openstreetmap
143,5914064389,41.5151389,69.6602407,100,speed_camera,,,openstreetmap
144,5923821369,37.4922834,67.1287662,100,speed_camera,SE,Радар-С,openstreetmap
145,5928547479,41.2340625,69.4022535,100,speed_camera,,Радар стационарный,openstreetmap
146,5951999098,39.739385,67.1842304,70,speed_camera,,Р А Д А Р,openstreetmap
147,5951999099,39.744578,67.2016543,70,speed_camera,,Р А Д А Р,openstreetmap
148,5951999100,39.8023788,67.3470497,70,speed_camera,,Р А Д А Р,openstreetmap
149,5951999101,40.2919987,68.0621305,70,speed_camera,,,openstreetmap
150,5951999102,41.5313116,69.6570405,70,speed_camera,,Аранчи пост ГАИ,openstreetmap
151,5951999103,40.0203776,67.6125321,70,speed_camera,,Радар,openstreetmap
152,5982616227,41.3177801,69.2768097,60,speed_camera,,,openstreetmap
153,6002848870,40.8484404,68.6668409,70,speed_camera,,,openstreetmap
154,6002849090,40.7695217,68.6826384,70,speed_camera,S,,openstreetmap
155,6002854748,40.3682824,68.1516563,110,speed_camera,NE,,openstreetmap
156,6002854749,40.368237,68.1517291,110,speed_camera,SW,,openstreetmap
157,6002857175,40.0983713,67.7935924,70,speed_camera,,,openstreetmap
158,6011616585,40.423433,71.7091995,70,speed_camera,,,openstreetmap
159,6011616586,40.4159418,71.7255685,70,speed_camera,,,openstreetmap
160,6014272285,40.4597691,71.7580566,70,speed_camera,,,openstreetmap
161,6016925396,41.3481702,69.2415576,60,speed_camera,,,openstreetmap
162,6018189383,41.3607645,69.2774182,60,speed_camera,NW,,openstreetmap
163,6019200799,41.3495544,69.2267122,60,speed_camera,,,openstreetmap
164,6057196001,40.4979108,68.7634568,60,speed_camera,N,,openstreetmap
165,6057210060,40.3938157,68.7925432,70,speed_camera,N,,openstreetmap
166,6081834633,40.0336838,67.6263588,70,speed_camera,,Kamera Radar,openstreetmap
167,6081834634,40.0337489,67.6262866,70,speed_camera,,Kamera Radar,openstreetmap
168,6081834637,39.9981661,67.5890052,70,speed_camera,,,openstreetmap
169,6081834638,39.9982618,67.5889007,70,speed_camera,,,openstreetmap
170,6081834639,39.9948008,67.5860607,70,speed_camera,,Video Radar,openstreetmap
171,6081834640,39.9949342,67.5860299,70,speed_camera,,Video Radar,openstreetmap
172,6088715642,40.2336056,68.8404327,70,speed_camera,S,,openstreetmap
173,6119429299,41.3543852,69.3123998,60,speed_camera,,,openstreetmap
174,6119429300,41.3575082,69.3072872,60,speed_camera,,,openstreetmap
175,6138652792,41.3604178,69.2789248,60,speed_camera,E,,openstreetmap
176,6138652822,41.3512399,69.2872716,60,speed_camera,W,,openstreetmap
177,6140951685,40.6469365,68.7178863,,speed_camera,,РАДАР,openstreetmap
178,6158409075,41.2502188,69.1827951,60,speed_camera,,,openstreetmap
179,6158409076,41.2494658,69.1818944,60,speed_camera,,,openstreetmap
180,6185342189,40.0957655,67.9121322,60,speed_camera,,,openstreetmap
181,6185342190,40.0540696,67.7071175,70,speed_camera,,РАДАР,openstreetmap
182,6185342191,39.9605426,67.5464617,70,speed_camera,,РАДАР,openstreetmap
183,6185342495,39.2126422,66.2431158,70,speed_camera,,РАДАР,openstreetmap
184,6185342586,39.728457,67.1474267,,speed_camera,,РАДАР,openstreetmap
185,6185391986,41.1454112,69.3181206,50,speed_camera,,,openstreetmap
186,6257352466,41.352048,69.2658486,60,speed_camera,,,openstreetmap
187,6257352467,41.3526824,69.2662586,60,speed_camera,,,openstreetmap
188,6260578576,41.202491,69.3329838,60,speed_camera,NE,,openstreetmap
189,6260578577,41.2014831,69.3318665,60,speed_camera,SW,,openstreetmap
190,6271668469,41.3560771,69.270042,50,speed_camera,,,openstreetmap
191,6289070314,40.8001018,68.6761617,70,speed_camera,SE,,openstreetmap
192,6289072622,40.7695039,68.6825321,70,speed_camera,N,,openstreetmap
193,6289083118,40.5807674,68.7384039,70,speed_camera,S,,openstreetmap
194,6289083119,40.5807398,68.7382527,70,speed_camera,N,,openstreetmap
195,6289087972,40.4979311,68.763587,60,speed_camera,S,,openstreetmap
196,6326941972,40.0907887,64.968529,100,speed_camera,E,,openstreetmap
197,6326956833,39.7707938,67.273178,70,speed_camera,E,,openstreetmap
198,6326956834,39.7709043,67.273127,70,speed_camera,W,,openstreetmap
199,6327711082,41.2525685,69.3861526,60,speed_camera,,,openstreetmap
200,6327717785,41.1522886,69.4263505,100,speed_camera,,,openstreetmap
201,6327717787,41.1206352,69.4418272,100,speed_camera,,,openstreetmap
202,6327717789,41.15491,69.4244273,70,speed_camera,,,openstreetmap
203,6327717791,41.1870405,69.4035503,100,speed_camera,,,openstreetmap
204,6341895455,39.7492252,64.4376024,60,speed_camera,,,openstreetmap
205,6341895456,39.7496764,64.4371672,60,speed_camera,,,openstreetmap
206,6341895457,39.7496166,64.4377777,60,speed_camera,,,openstreetmap
207,6341895458,39.7492913,64.4370979,60,speed_camera,,,openstreetmap
208,6354080424,41.304621,69.3245845,60,speed_camera,,,openstreetmap
209,6354231355,41.0777746,69.4719772,100,speed_camera,,,openstreetmap
210,6354850381,40.8748765,69.5918836,70,speed_camera,,,openstreetmap
211,6354852911,41.0280869,69.5070422,100,speed_camera,,,openstreetmap
212,6370125277,41.028295,69.5070384,100,speed_camera,,,openstreetmap
213,6379181753,40.5507604,68.4016095,70,speed_camera,,,openstreetmap
214,6379181754,40.5506272,68.4016536,70,speed_camera,,,openstreetmap
215,6379256611,41.0573696,61.9933685,70,speed_camera,E,,openstreetmap
216,6402318601,40.1849547,68.6858593,70,speed_camera,W,,openstreetmap
217,6402350414,39.9942726,68.4221147,70,speed_camera,SW,,openstreetmap
218,6412304891,41.2594565,69.4191279,70,speed_camera,,,openstreetmap
219,6412304905,41.2499353,69.4041991,60,speed_camera,,,openstreetmap
220,6468041951,42.9735787,59.8136389,50,speed_camera,,,openstreetmap
221,6468041952,42.9010866,59.774619,50,speed_camera,,,openstreetmap
222,6468041965,42.6700475,59.7259071,50,speed_camera,,,openstreetmap
223,6470690422,41.3544711,69.3125016,60,speed_camera,,,openstreetmap
224,6470697648,41.3576003,69.3073936,60,speed_camera,,,openstreetmap
225,6471173327,39.7813992,64.3897753,70,speed_camera,S,,openstreetmap
226,6471173328,39.7813589,64.3898964,70,speed_camera,N,,openstreetmap
227,6471744803,41.2268506,69.2199065,60,speed_camera,,,openstreetmap
228,6473648996,40.4023315,63.0896937,100,speed_camera,NW,Радар,openstreetmap
229,6473649003,40.2751716,63.2809412,100,speed_camera,S,Радар,openstreetmap
230,6498392578,41.3548975,69.3638012,60,speed_camera,,,openstreetmap
231,6498392581,41.354879,69.3621349,60,speed_camera,,,openstreetmap
232,6567200326,41.54772,60.6714588,70,speed_camera,,,openstreetmap
233,6568122400,40.5070583,68.7542709,60,speed_camera,W,,openstreetmap
234,6579679392,40.1004724,65.0018638,100,speed_camera,SW,,openstreetmap
235,6579702100,40.138147,65.2778912,70,speed_camera,W,Муляж,openstreetmap
236,6579702109,40.0278173,64.8113799,70,speed_camera,E,,openstreetmap
237,6579702119,40.0571913,64.792134,70,speed_camera,E,,openstreetmap
238,6621206972,40.0875655,68.1674137,70,speed_camera,E,Радар стационарный,openstreetmap
239,6627811196,40.1120445,65.0769629,100,speed_camera,SW,,openstreetmap
240,6642748786,40.2750618,63.2803801,100,speed_camera,,Радар бор,openstreetmap
241,6642748903,40.3008431,63.2627214,100,speed_camera,,Radar,openstreetmap
242,6652481563,42.5617797,59.6504647,50,speed_camera,,,openstreetmap
243,6658185993,40.3010541,63.2629362,100,speed_camera,,Radar,openstreetmap
244,6698950036,40.4885512,68.86887,50,speed_camera,E,,openstreetmap
245,6725435226,40.1147574,65.0977509,100,speed_camera,SW,Камера в спину,openstreetmap
246,6743908490,41.0073312,71.6164427,70,speed_camera,,,openstreetmap
247,6749032292,41.0026188,71.6775955,70,speed_camera,,,openstreetmap
248,6749032307,40.9938734,71.6716263,70,speed_camera,,,openstreetmap
249,6749047288,40.9926529,71.668107,70,speed_camera,,,openstreetmap
250,6759376344,41.0072205,71.6408291,70,speed_camera,,,openstreetmap
251,6759376351,41.0070789,71.6408868,70,speed_camera,,,openstreetmap
252,6759509783,41.0024609,71.6775981,70,speed_camera,,,openstreetmap
253,6785368023,40.8748458,69.5920206,70,speed_camera,,,openstreetmap
254,6855639416,41.3518605,69.252615,60,speed_camera,,,openstreetmap
255,6855787714,41.2730554,69.3623428,60,speed_camera,,,openstreetmap
256,6915392885,41.2442295,69.2754028,60,speed_camera,,,openstreetmap
257,6917473667,37.4922532,67.1286745,100,speed_camera,NW,Радар-С,openstreetmap
258,6917473741,37.3505095,67.1862164,70,speed_camera,S,Радар-С,openstreetmap
259,6917473742,37.3504839,67.1860769,70,speed_camera,N,Радар-С,openstreetmap
260,6917476021,40.0381645,65.6826462,70,speed_camera,W,,openstreetmap
261,6917476022,40.038088,65.6826197,70,speed_camera,E,,openstreetmap
262,6920368922,41.2349676,69.3383182,60,speed_camera,,,openstreetmap
263,6920368923,41.239663,69.3471314,60,speed_camera,,,openstreetmap
264,6948566362,41.3221059,69.2748295,50,speed_camera,,,openstreetmap
265,6968160486,40.1447452,65.3027655,70,speed_camera,E,,openstreetmap
266,6968160487,40.0539613,64.8723577,100,speed_camera,SW,,openstreetmap
267,7016246789,41.238793,69.2112708,60,speed_camera,,,openstreetmap
268,7030781624,40.0876504,68.1674244,70,speed_camera,E,Радар стационарный,openstreetmap
269,7038988424,41.3474895,69.3577528,60,speed_camera,,,openstreetmap
270,7055212265,41.2684633,69.233961,60,speed_camera,,,openstreetmap
271,7097424490,41.0468945,64.6109766,100,speed_camera,NW,,openstreetmap
272,7097424520,40.9673789,64.6827833,100,speed_camera,SE,,openstreetmap
273,7097424552,40.888618,64.7752284,100,speed_camera,NW,,openstreetmap
274,7124975973,40.0205012,64.5302166,70,speed_camera,NE,,openstreetmap
275,7124975974,40.0784736,64.5923473,70,speed_camera,W,,openstreetmap
276,7125011827,40.0274671,64.774021,70,speed_camera,E,,openstreetmap
277,7148424251,42.4861216,59.5756562,60,speed_camera,,,openstreetmap
